cards=2583A, bid=4, type=0, rank=1
cards=2637K, bid=617, type=0, rank=2
cards=27456, bid=239, type=0, rank=3
cards=28936, bid=699, type=0, rank=4
cards=29Q56, bid=262, type=0, rank=5
cards=29K63, bid=400, type=0, rank=6
cards=2K364, bid=921, type=0, rank=7
cards=2K4T3, bid=352, type=0, rank=8
cards=2K687, bid=60, type=0, rank=9
cards=2A498, bid=534, type=0, rank=10
cards=32K8T, bid=610, type=0, rank=11
cards=34Q59, bid=167, type=0, rank=12
cards=35K47, bid=655, type=0, rank=13
cards=3729A, bid=191, type=0, rank=14
cards=395T4, bid=546, type=0, rank=15
cards=3K897, bid=975, type=0, rank=16
cards=3K97T, bid=678, type=0, rank=17
cards=42738, bid=27, type=0, rank=18
cards=42AQ8, bid=856, type=0, rank=19
cards=437Q5, bid=445, type=0, rank=20
cards=43Q89, bid=211, type=0, rank=21
cards=457T3, bid=717, type=0, rank=22
cards=47Q98, bid=109, type=0, rank=23
cards=47QKA, bid=504, type=0, rank=24
cards=493AK, bid=970, type=0, rank=25
cards=497Q2, bid=21, type=0, rank=26
cards=4TK98, bid=287, type=0, rank=27
cards=4TA87, bid=818, type=0, rank=28
cards=4K9T6, bid=162, type=0, rank=29
cards=4A5K9, bid=136, type=0, rank=30
cards=5329Q, bid=104, type=0, rank=31
cards=546K8, bid=484, type=0, rank=32
cards=5879T, bid=335, type=0, rank=33
cards=5964K, bid=176, type=0, rank=34
cards=596K8, bid=23, type=0, rank=35
cards=5T92Q, bid=33, type=0, rank=36
cards=5TQA2, bid=64, type=0, rank=37
cards=5K48A, bid=976, type=0, rank=38
cards=5A329, bid=727, type=0, rank=39
cards=5A72Q, bid=593, type=0, rank=40
cards=5AK72, bid=407, type=0, rank=41
cards=5AK79, bid=169, type=0, rank=42
cards=6372Q, bid=56, type=0, rank=43
cards=63A9Q, bid=720, type=0, rank=44
cards=648K7, bid=938, type=0, rank=45
cards=693KT, bid=670, type=0, rank=46
